# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_GAMUT_COMP_13 with the default parameters lim=(1.147,1.264,1.312) thr=(0.815,0.803,0.880) power=1.2
# columns: dir,in_r,in_g,in_b,out_r,out_g,out_b (ACEScg / AP1 linear)
fwd,0.69343567,0.5897083,-0.3979447,0.69343567,0.5897083,-0.0070721507
fwd,2.698741,-0.8907363,1.516223,2.698741,-0.024934841,1.516223
inv,0.0,0.0,0.0,0.0,0.0,0.0
inv,9.999998e-05,0.000100000005,1e-04,9.999998e-05,0.000100000005,1e-04
inv,0.001,0.001,0.001,0.001,0.001,0.001
inv,0.009999999,0.01,0.01,0.009999999,0.01,0.01
inv,0.049999997,0.05,0.05,0.049999997,0.05,0.05
inv,0.18,0.18,0.18,0.18,0.18,0.18
inv,0.49999997,0.5,0.5,0.49999997,0.5,0.5
inv,0.99999994,1.0,1.0,0.99999994,1.0,1.0
inv,1.9999999,2.0,2.0,1.9999999,2.0,2.0
inv,7.9999995,8.0,8.0,7.9999995,8.0,8.0
inv,31.999998,32.0,32.0,31.999998,32.0,32.0
inv,99.999985,100.0,100.0,99.999985,100.0,100.0
inv,0.07257196,0.0034423852,0.0034823322,0.07257196,-0.003827686,0.0004158138
inv,0.060746424,0.0549838,0.0028315103,0.060746424,0.0549838,0.00011418457
inv,-0.000805185,0.058811486,0.0026006703,-0.011825538,0.058811486,-0.00030161487
inv,-0.002756281,0.053827688,0.049584195,-0.022571975,0.053827688,0.049584195
inv,-0.0008452916,0.0016716305,0.049885817,-0.0107464325,-0.0049838014,0.049885817
inv,0.061825536,0.0014159513,0.050301623,0.061825536,-0.008811483,0.050301623
inv,0.72571963,0.03442385,0.034823325,0.72571963,-0.038277034,0.004158008
inv,0.60746425,0.54983795,0.028315103,0.60746425,0.54983795,0.0011419543
inv,-0.00805185,0.58811486,0.026006702,-0.118255384,0.58811486,-0.0030161487
inv,-0.027562812,0.5382769,0.49584192,-0.22571976,0.5382769,0.49584192
inv,-0.008452916,0.016716305,0.49885815,-0.10746432,-0.049838014,0.49885815
inv,0.6182554,0.014159513,0.50301623,0.6182554,-0.08811483,0.50301623
inv,1.4514393,0.0688477,0.06964665,1.4514393,-0.07655407,0.008316016
inv,1.2149285,1.0996759,0.056630205,1.2149285,1.0996759,0.0022839087
inv,-0.0161037,1.1762297,0.052013405,-0.23651077,1.1762297,-0.0060322974
inv,-0.055125624,1.0765538,0.99168384,-0.45143953,1.0765538,0.99168384
inv,-0.016905831,0.03343261,0.9977163,-0.21492864,-0.09967603,0.9977163
inv,1.2365108,0.028319025,1.0060325,1.2365108,-0.17622966,1.0060325
inv,14.514393,0.68847704,0.6964656,14.514393,-0.76554066,0.08316016
inv,12.149285,10.996759,0.56630206,12.149285,10.996759,0.022836916
inv,-0.161037,11.762297,0.52013403,-2.3651075,11.762297,-0.06032297
inv,-0.5512562,10.765537,9.916839,-4.5143948,10.765537,9.916839
inv,-0.16905832,0.33432612,9.977163,-2.1492865,-0.9967627,9.977163
inv,12.365107,0.28319025,10.060325,12.365107,-1.7622994,10.060325
inv,27.323168,22.672134,37.99964,27.323168,22.672134,37.99964
inv,4.879783,7.5697227,1.9175758,4.879783,7.5697227,1.9175758
inv,9.339015,2.048523,3.3099859,9.339015,2.048523,3.3099859
inv,0.77793103,0.7429168,0.09595288,0.77793103,0.7429168,0.09595288
inv,15.462635,50.606827,11.637046,15.462635,50.606827,11.637046
inv,0.071213394,0.15470575,0.06653096,0.071213394,0.15470575,0.06653096
inv,58.707626,61.997482,59.01725,58.707626,61.997482,59.01725
inv,0.0014653206,0.0010156858,0.00068735244,0.0014653206,0.0010156858,0.00068735244
inv,0.16892986,6.2216763,1.2889326,-0.38824883,6.2216763,1.2889326
inv,-3.5434372e-05,0.0012788465,0.0015362931,-0.0003752265,0.0012788465,0.0015362931
inv,13.870853,25.64798,25.23573,13.870853,25.64798,25.23573
inv,0.06895718,0.068571545,0.049001962,0.06895718,0.068571545,0.049001962
inv,46.40001,5.500673,82.85002,46.40001,-0.026133198,82.85002
inv,0.9415912,2.094864,0.53310484,0.9415912,2.094864,0.53310484
inv,0.009300654,0.044963293,0.080578424,0.0084498,0.044963293,0.080578424
inv,0.027041724,0.0017663642,0.0142070595,0.027041724,-8.087752e-05,0.0142070595
inv,0.0018565309,0.0023549476,0.00083775684,0.0018565309,0.0023549476,0.00083775684
inv,0.24180913,0.015103241,0.15611097,0.24180913,-0.0024853686,0.15611097
inv,0.0012511957,0.0069478704,0.0060871122,0.0012510098,0.0069478704,0.0060871122
inv,3.003638,2.4347243,1.3411447,3.003638,2.4347243,1.3411447
inv,3.7649474,1.4708931,2.16538,3.7649474,1.4708931,2.16538
inv,0.00023393374,0.0015643892,0.00083682034,0.00023050298,0.0015643892,0.00083682034
inv,0.07033595,0.038668714,0.06526572,0.07033595,0.038668714,0.06526572
inv,0.0044941143,0.003061852,0.004118398,0.0044941143,0.003061852,0.004118398
inv,-0.0032018248,0.22773513,0.13979474,-0.046154667,0.22773513,0.13979474
inv,8.493368,1.2735758,2.9436536,8.493368,1.230875,2.9436536
inv,0.027558763,0.04891618,0.044339318,0.027558763,0.04891618,0.044339318
inv,7.17837,4.085457,4.5723906,7.17837,4.085457,4.5723906
inv,0.00173205,0.0006503381,0.002380502,0.00173205,0.0006503381,0.002380502
inv,-6.6269175e-05,0.012661568,0.00847146,-0.00210902,0.012661568,0.00847146
inv,0.1668881,0.27733302,0.06299767,0.1668881,0.27733302,0.06299767
inv,0.2991841,-0.0011120867,0.13164932,0.2991841,-0.08647984,0.13164932
inv,-0.011760145,0.081648365,0.13558632,-0.115735695,0.081648365,0.13558632
inv,0.13339128,0.22605768,0.010451082,0.13339128,0.22605768,0.00017905716
inv,0.21463369,0.2829075,0.18806443,0.21463369,0.2829075,0.18806443
inv,0.112592325,0.008134909,0.28362957,0.112592325,-0.033603474,0.28362957
inv,-0.0011940246,0.33726865,0.04505279,-0.05399578,0.33726865,0.04505279
inv,0.1819782,0.32739022,0.06636099,0.1819782,0.32739022,0.06636099
inv,1.5202342,0.017018395,0.044798717,1.5202342,-0.30183196,-0.09024912
inv,-0.032103,1.2137879,0.004914631,-0.31717604,1.2137879,-0.3061791
inv,-0.058500603,0.010382925,0.9966563,-0.48156562,-0.20198815,0.9966563
inv,0.69343567,0.5897083,-0.0070721507,0.69343567,0.5897083,-0.39794496
inv,2.698741,-0.024934841,1.516223,2.698741,-0.8907355,1.516223
