# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ACES-OUTPUT - ACES2065-1_to_CIE-XYZ-D65 - <preset>_2.0 followed by DISPLAY - CIE-XYZ-D65_to_<encoding>
# columns: preset,r_ap0,g_ap0,b_ap0,cv_r,cv_g,cv_b
# presets: rec709_100_srgb = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; rec709_100_bt1886 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.1886-REC.709; rec709_100_g22 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.2-REC.709; p3d65_100_g26 = SDR-100nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.6-P3-D65; p3d65_1000_pq = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_ST2084-P3-D65; rec2020_1000_pq = HDR-1000nit-REC2020_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ; p3d65_1000_hlg_rec2100 = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-HLG-1000nit; rec709d60_100_srgb = SDR-100nit-REC709-D60-in-REC709-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; p3d60_1000_pq_rec2100 = HDR-1000nit-P3-D60-in-REC2020-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ
rec709_100_g22,1.0,0.0,0.0,0.99703014,0.0,0.14357933
rec709_100_g22,0.0,1.0,1.0,0.0,0.72894186,0.690598
rec709_100_g22,10.0,0.0,0.0,1.0000067,0.56855536,0.52228177
rec709_100_g22,0.0,10.0,10.0,0.6463865,1.0000067,0.9709594
rec709_100_g22,28.41841,24.344778,37.99694,0.98642635,0.9840623,0.98940325
rec709_100_g22,0.6612502,0.682678,0.09478852,0.68918794,0.6564591,0.2019574
rec709_100_g22,59.221184,61.5654,59.030956,0.9955602,0.9957821,0.9956375
rec709_100_g22,0.00017070514,0.001229348,0.0015458196,0.0,0.003627049,0.00370858
rec709_100_g22,45.84187,9.971024,82.71785,1.0000067,0.9659602,0.9996743
rec709_100_g22,0.021122947,0.0024990516,0.014078625,0.06914971,0.0,0.04517521
rec709_100_g22,0.002844924,0.00661045,0.0061173006,0.0019327457,0.02138764,0.019842556
rec709_100_g22,0.00051750906,0.0014351306,0.0008430994,0.000337891,0.0042965133,0.0033831443
rec709_100_g22,0.022847129,0.20706503,0.14117625,0.0,0.37522763,0.3180495
rec709_100_g22,6.3162236,4.270521,4.5560303,0.958693,0.90316963,0.91210026
rec709_100_g22,0.16540092,0.2519093,0.06328633,0.27165744,0.44875842,0.14890121
rec709_100_g22,0.12459811,0.20032758,0.0003521437,0.2861455,0.39649475,0.0
rec709_100_g22,0.017277788,0.2918255,0.04677635,0.0,0.45650232,0.26884776
p3d65_100_g26,0.0,0.0,0.0,0.0,0.0,0.0
p3d65_100_g26,0.01,0.01,0.01,0.06158563,0.06158563,0.06158563
p3d65_100_g26,0.5,0.5,0.5,0.6127052,0.6127052,0.61270523
p3d65_100_g26,8.0,8.0,8.0,0.95434195,0.954342,0.95434207
p3d65_100_g26,0.05,0.0,0.0,0.19665289,0.0,0.041837692
p3d65_100_g26,0.0,0.05,0.05,0.0,0.18861982,0.1806356
p3d65_100_g26,0.5,0.0,0.0,0.768998,0.0,0.16238537
p3d65_100_g26,0.0,0.5,0.5,0.0,0.6306572,0.6038686
p3d65_100_g26,1.0,0.0,0.0,0.98670435,0.0,0.20127009
p3d65_100_g26,0.0,1.0,1.0,0.0,0.7733418,0.74036527
p3d65_100_g26,10.0,0.0,0.0,1.0000061,0.6334676,0.5786462
p3d65_100_g26,0.0,10.0,10.0,0.7280307,1.0000061,0.97875273
p3d65_100_g26,28.41841,24.344778,37.99694,0.9881467,0.9865641,0.9906559
p3d65_100_g26,0.6612502,0.682678,0.09478852,0.726103,0.70172125,0.3341209
p3d65_100_g26,59.221184,61.5654,59.030956,0.9962748,0.99642324,0.99631476
p3d65_100_g26,0.00017070514,0.001229348,0.0015458196,0.0,0.008683275,0.008962722
p3d65_100_g26,45.84187,9.971024,82.71785,0.99811196,0.97023845,1.0000061
p3d65_100_g26,0.021122947,0.0024990516,0.014078625,0.099351406,0.0,0.07198695
p3d65_100_g26,0.002844924,0.00661045,0.0061173006,0.008527511,0.03904644,0.036635578
p3d65_100_g26,0.00051750906,0.0014351306,0.0008430994,0.0021899755,0.010121082,0.008077164
p3d65_100_g26,0.022847129,0.20706503,0.14117625,0.0,0.4380173,0.37509036
p3d65_100_g26,6.3162236,4.270521,4.5560303,0.95677745,0.91907394,0.9252556
p3d65_100_g26,0.16540092,0.2519093,0.06328633,0.3722322,0.50355005,0.24713083
p3d65_100_g26,0.12459811,0.20032758,0.0003521437,0.35378224,0.45486307,0.0
p3d65_100_g26,0.017277788,0.2918255,0.04677635,0.0,0.51979005,0.30527997
p3d65_1000_pq,0.0,0.0,0.0,7.309427e-07,7.309427e-07,7.309427e-07
p3d65_1000_pq,0.01,0.01,0.01,0.06068116,0.06068116,0.060681164
p3d65_1000_pq,0.5,0.5,0.5,0.44129115,0.44129124,0.44129124
p3d65_1000_pq,8.0,8.0,8.0,0.68391806,0.6839182,0.6839182
p3d65_1000_pq,0.05,0.0,0.0,0.18824577,7.309427e-07,0.027443161
p3d65_1000_pq,0.0,0.05,0.05,7.309427e-07,0.17910303,0.17218415
p3d65_1000_pq,0.5,0.0,0.0,0.48192638,7.309427e-07,0.15843165
p3d65_1000_pq,0.0,0.5,0.5,7.309427e-07,0.43852732,0.42755896
p3d65_1000_pq,1.0,0.0,0.0,0.56565374,7.309427e-07,0.21124548
p3d65_1000_pq,0.0,1.0,1.0,7.309427e-07,0.5150527,0.50348103
p3d65_1000_pq,10.0,0.0,0.0,0.7518271,0.43602294,0.42616558
p3d65_1000_pq,0.0,10.0,10.0,7.309427e-07,0.71239704,0.7000056
p3d65_1000_pq,28.41841,24.344778,37.99694,0.7285483,0.7266028,0.73159397
p3d65_1000_pq,0.6612502,0.682678,0.09478852,0.4940754,0.484155,0.28817713
p3d65_1000_pq,59.221184,61.5654,59.030956,0.7413698,0.7416862,0.74145454
p3d65_1000_pq,0.00017070514,0.001229348,0.0015458196,7.309427e-07,0.004833916,0.0051616826
p3d65_1000_pq,45.84187,9.971024,82.71785,0.7471768,0.69372535,0.7518271
p3d65_1000_pq,0.021122947,0.0024990516,0.014078625,0.10328702,7.309427e-07,0.07259999
p3d65_1000_pq,0.002844924,0.00661045,0.0061173006,7.309427e-07,0.036718115,0.033549335
p3d65_1000_pq,0.00051750906,0.0014351306,0.0008430994,7.309427e-07,0.006079644,0.004009386
p3d65_1000_pq,0.022847129,0.20706503,0.14117625,7.309427e-07,0.3372203,0.30234486
p3d65_1000_pq,6.3162236,4.270521,4.5560303,0.6771979,0.64840275,0.6535343
p3d65_1000_pq,0.16540092,0.2519093,0.06328633,0.30861843,0.37665012,0.22721766
p3d65_1000_pq,0.12459811,0.20032758,0.0003521437,0.29157537,0.34944615,7.309427e-07
p3d65_1000_pq,0.017277788,0.2918255,0.04677635,7.309427e-07,0.37843314,0.25871968
rec2020_1000_pq,0.0,0.0,0.0,7.309427e-07,7.309427e-07,7.309427e-07
rec2020_1000_pq,0.01,0.01,0.01,0.06068117,0.060681157,0.060681164
rec2020_1000_pq,0.5,0.5,0.5,0.44129124,0.4412912,0.44129124
