# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ACEScct / ACEScc (S-2016-001 / S-2014-003)
# columns: kind,in_r,in_g,in_b,out_r,out_g,out_b
# acescct: linear AP1 -> ACEScct (CURVE - ACEScct-LOG_to_LINEAR, inverse)
# acescct_to_ap0: ACEScct -> ACES2065-1 (ACEScct_to_ACES2065-1)
# ap0_to_acescc: ACES2065-1 -> ACEScc (ACEScc_to_ACES2065-1, inverse)
# acescc_to_ap0: ACEScc -> ACES2065-1 (ACEScc_to_ACES2065-1)
acescct,0.0,0.0,0.0,0.07290557,0.07290557,0.07290557
acescct,1e-06,5e-07,2.5e-07,0.07291611,0.07291084,0.07290821
acescct,1e-05,5e-06,2.5e-06,0.07301097,0.07295827,0.07293192
acescct,1e-04,5e-05,2.5e-05,0.0739596,0.07343258,0.073169075
acescct,0.001,0.0005,0.00025,0.08344581,0.07817569,0.07554063
acescct,0.0078125,0.00390625,0.001953125,0.15525118,0.11407837,0.09349197
acescct,0.01,0.005,0.0025,0.17557961,0.12560676,0.099256165
acescct,0.05,0.025,0.0125,0.3081091,0.2510315,0.19395387
acescct,0.18,0.09,0.045,0.4135878,0.35651016,0.29943255
acescct,0.5,0.25,0.125,0.49771765,0.44064003,0.38356242
acescct,1.0,0.5,0.25,0.55479527,0.49771765,0.44064003
acescct,2.0,1.0,0.5,0.6118729,0.55479527,0.49771765
acescct,8.0,4.0,2.0,0.72602814,0.66895056,0.6118729
acescct,32.0,16.0,8.0,0.8401834,0.7831058,0.72602814
acescct,65504.0,32752.0,16376.0,1.4679971,1.4109194,1.3538418
acescct,-1e-04,-5e-05,-2.5e-05,0.071851544,0.07237856,0.072642066
acescct,-0.01,-0.005,-0.0025,-0.032496803,0.020204384,0.046554975
acescct,-0.1,-0.05,-0.025,-0.9811182,-0.4541063,-0.19060037
acescct,-1.0,-0.5,-0.25,-10.467332,-5.197213,-2.5621538
acescct,1.4631461e-05,7.3157307e-06,3.6578654e-06,0.07305979,0.07298268,0.07294413
acescct,55090.4,27545.2,13772.6,1.4537399,1.3966622,1.3395846
acescct,17101.592,8550.796,4275.398,1.3574106,1.3003329,1.2432553
acescct,0.0035937307,0.0017968654,0.0008984327,0.110784344,0.09184496,0.082375266
acescct,3.842119e-05,1.9210594e-05,9.605297e-06,0.07331054,0.073108055,0.07300681
acescct,121.50093,60.750465,30.375233,0.9500464,0.8929688,0.8358912
acescct,0.0149192065,0.0074596033,0.0037298016,0.20852196,0.15153156,0.112218566
acescct,13.127439,6.5637193,3.2818596,0.7668104,0.70973283,0.6526552
acescct,50301.02,25150.51,12575.255,1.4462495,1.3891718,1.3320942
acescct,414.98666,207.49333,103.746666,1.0511943,0.99411666,0.937039
acescct,0.0026063242,0.0013031621,0.00065158104,0.100376844,0.08664121,0.07977339
acescct,34.852657,17.426329,8.713164,0.8472139,0.7901363,0.7330587
acescct,63.276905,31.638453,15.819226,0.8963245,0.83924687,0.7821693
acescct,0.003968237,0.0019841185,0.0009920592,0.11473173,0.09381865,0.08336211
acescct,1.9766524e-06,9.883262e-07,4.941631e-07,0.0729264,0.072915986,0.07291078
acescct,167.68422,83.84211,41.921055,0.97657585,0.91949826,0.8624207
acescct,0.0048637344,0.0024318672,0.0012159336,0.12417048,0.098538026,0.0857218
acescct,1.6942122,0.8471061,0.42355305,0.5982093,0.5411317,0.48405406
acescct,0.431216,0.215608,0.107804,0.48553059,0.42845297,0.37137535
acescct,0.010002475,0.0050012376,0.0025006188,0.17559996,0.1256198,0.099262685
acescct,0.0001644884,8.22442e-05,4.11221e-05,0.07463932,0.073772445,0.07333901
acescct,0.27645892,0.13822946,0.06911473,0.44892305,0.3918454,0.3347678
acescct,5.5656674e-06,2.7828337e-06,1.3914168e-06,0.072964236,0.0729349,0.07292023
acescct,12087.68,6043.84,3021.92,1.3288378,1.2717601,1.2146826
acescct,4.924024e-06,2.462012e-06,1.231006e-06,0.07295747,0.07293152,0.07291854
acescct,24.619247,12.309624,6.154812,0.8185905,0.76151294,0.70443535
acescct,0.0044278456,0.0022139228,0.0011069614,0.11957611,0.09624084,0.08457321
acescct,0.5342135,0.26710674,0.13355337,0.5031665,0.44608885,0.38901123
acescct,51465.6,25732.8,12866.4,1.4481344,1.3910568,1.3339791
acescct,0.16912267,0.08456133,0.042280667,0.4084556,0.35137796,0.29430035
acescct,746.1232,373.0616,186.5308,1.099501,1.0424234,0.9853458
acescct,0.00021139254,0.00010569627,5.2848136e-05,0.075133696,0.07401963,0.073462605
acescct,7.742379e-05,3.8711896e-05,1.9355948e-05,0.07372163,0.0733136,0.07310959
acescct,1.2989327e-06,6.4946636e-07,3.2473318e-07,0.072919264,0.07291242,0.07290899
acescct,1.7298436,0.8649218,0.4324609,0.59992325,0.5428456,0.485768
acescct,1.539441e-05,7.697205e-06,3.8486023e-06,0.07306783,0.0729867,0.07294614
acescct,3.5323771e-06,1.7661886e-06,8.830943e-07,0.0729428,0.07292419,0.072914876
acescct,0.0049920934,0.0024960467,0.0012480234,0.12552342,0.099214494,0.08606003
acescct,0.05947173,0.029735865,0.014867933,0.32239372,0.26531607,0.20823845
acescct,643.74426,321.87213,160.93607,1.087349,1.0302715,0.9731938
acescct_to_ap0,0.07290557,0.07290557,0.07290557,0.0,0.0,0.0
acescct_to_ap0,0.07291611,0.07291084,0.07290821,8.069167e-07,4.9833716e-07,2.4709215e-07
acescct_to_ap0,0.07301097,0.07295827,0.07293192,8.067644e-06,4.984897e-06,2.468818e-06
acescct_to_ap0,0.0739596,0.07343258,0.073169075,8.0675985e-05,4.9851165e-05,2.4686069e-05
acescct_to_ap0,0.08344581,0.07817569,0.07554063,0.00080675894,0.0004985135,0.00024686212
acescct_to_ap0,0.15525118,0.11407837,0.09349197,0.0063028033,0.0038946383,0.0019286086
acescct_to_ap0,0.17557961,0.12560676,0.099256165,0.008067654,0.0049851416,0.0024686188
acescct_to_ap0,0.3081091,0.2510315,0.19395387,0.040337827,0.024925612,0.012343059
acescct_to_ap0,0.4135878,0.35651016,0.29943255,0.14521527,0.08973164,0.04443474
acescct_to_ap0,0.49771765,0.44064003,0.38356242,0.403384,0.2492597,0.123432375
acescct_to_ap0,0.55479527,0.49771765,0.44064003,0.806768,0.49851933,0.24686472
acescct_to_ap0,0.6118729,0.55479527,0.49771765,1.6135364,0.99703866,0.49372938
acescct_to_ap0,0.72602814,0.66895056,0.6118729,6.4541445,3.9881568,1.974918
acescct_to_ap0,0.8401834,0.7831058,0.72602814,25.816574,15.952622,7.89967
acescct_to_ap0,1.4679971,1.4109194,1.3538418,52846.28,32654.857,16170.539
acescct_to_ap0,0.071851544,0.07237856,0.072642066,-8.0675985e-05,-4.9851165e-05,-2.4686069e-05
acescct_to_ap0,-0.032496803,0.020204384,0.046554975,-0.008067588,-0.004985137,-0.0024686193
acescct_to_ap0,-0.9811182,-0.4541063,-0.19060037,-0.080675885,-0.049851373,-0.02468619
acescct_to_ap0,-10.467332,-5.197213,-2.5621538,-0.8067588,-0.4985137,-0.2468619
acescct_to_ap0,0.07305979,0.07298268,0.07294413,1.1804078e-05,7.29372e-06,3.6121373e-06
acescct_to_ap0,1.4537399,1.3966622,1.3395846,44444.91,27463.47,13599.796
acescct_to_ap0,1.3574106,1.3003329,1.2432553,13796.728,8525.296,4221.688
acescct_to_ap0,0.110784344,0.09184496,0.082375266,0.002899274,0.0017915242,0.0008871554
acescct_to_ap0,0.07331054,0.073108055,0.07300681,3.0996605e-05,1.9153475e-05,9.484384e-06
acescct_to_ap0,0.9500464,0.8929688,0.8358912,98.02145,60.56957,29.993803
acescct_to_ap0,0.20852196,0.15153156,0.112218566,0.012036148,0.0074374257,0.0036829845
acescct_to_ap0,0.7668104,0.70973283,0.6526552,10.590693,6.5442214,3.2406702
acescct_to_ap0,1.4462495,1.3891718,1.3320942,40580.43,25075.523,12417.287
acescct_to_ap0,1.0511943,0.99411666,0.937039,334.7942,206.87651,102.44434
acescct_to_ap0,0.100376844,0.08664121,0.07977339,0.0021026751,0.0012992884,0.0006434021
acescct_to_ap0,0.8472139,0.7901363,0.7330587,28.117453,17.374376,8.603722
acescct_to_ap0,0.8963245,0.83924687,0.7821693,51.049095,31.544329,15.620624
acescct_to_ap0,0.11473173,0.09381865,0.08336211,0.0032014102,0.0019782207,0.0009796065
acescct_to_ap0,0.0729264,0.072915986,0.07291078,1.5944856e-06,9.852671e-07,4.879002e-07
acescct_to_ap0,0.97657585,0.91949826,0.8624207,135.2815,83.59341,41.39512
acescct_to_ap0,0.12417048,0.098538026,0.0857218,0.00392386,0.0024246378,0.0012006706
acescct_to_ap0,0.5982093,0.5411317,0.48405406,1.3668317,0.84459466,0.41823974
acescct_to_ap0,0.48553059,0.42845297,0.37137535,0.3478905,0.21496907,0.10645181
acescct_to_ap0,0.17559996,0.1256198,0.099262685,0.008069649,0.0049863746,0.0024692293
acescct_to_ap0,0.07463932,0.073772445,0.07333901,0.00013270273,8.199988e-05,4.0606e-05
acescct_to_ap0,0.44892305,0.3918454,0.3347678,0.22303447,0.13781779,0.0682468
acescct_to_ap0,0.072964236,0.0729349,0.07292023,4.490278e-06,2.7746419e-06,1.3736538e-06
acescct_to_ap0,1.3288378,1.2717601,1.2146826,9751.739,6025.8105,2983.958
acescct_to_ap0,0.07295747,0.07293152,0.07291854,3.97247e-06,2.4546769e-06,1.2152084e-06
acescct_to_ap0,0.8185905,0.76151294,0.70443535,19.86162,12.272927,6.077506
acescct_to_ap0,0.11957611,0.09624084,0.08457321,0.0035722035,0.0022073416,0.0010930668
acescct_to_ap0,0.5031665,0.44608885,0.38901123,0.4309768,0.26630983,0.13187551
acescct_to_ap0,1.4481344,1.3910568,1.3339791,41520.047,25656.133,12704.802
acescct_to_ap0,0.4084556,0.35137796,0.29430035,0.13644132,0.08431,0.04174997
acescct_to_ap0,1.099501,1.0424234,0.9853458,601.9353,371.94864,184.1875
acescct_to_ap0,0.075133696,0.07401963,0.073462605,0.00017054273,0.00010538203,5.218508e-05
acescct_to_ap0,0.07372163,0.0733136,0.07310959,6.246215e-05,3.859671e-05,1.9113268e-05
acescct_to_ap0,0.072919264,0.07291242,0.07290899,1.0481054e-06,6.47649e-07,3.2037582e-07
acescct_to_ap0,0.59992325,0.5428456,0.485768,1.3955802,0.862359,0.42703655
acescct_to_ap0,0.07306783,0.0729867,0.07294614,1.2419483e-05,7.674264e-06,3.8006008e-06
acescct_to_ap0,0.0729428,0.07292419,0.072914876,2.8496793e-06,1.7611524e-06,8.717977e-07
acescct_to_ap0,0.12552342,0.099214494,0.08606003,0.0040274155,0.002488627,0.0012323577
acescct_to_ap0,0.32239372,0.26531607,0.20823845,0.047979087,0.029647315,0.014681227
acescct_to_ap0,1.087349,1.0302715,0.9731938,519.352,320.91898,158.91765
ap0_to_acescc,0.0,0.0,0.0,-0.35844782,-0.35844782,-0.35844782
ap0_to_acescc,8.069167e-07,4.9833716e-07,2.4709215e-07,-0.35579214,-0.35711023,-0.35777527
ap0_to_acescc,8.067644e-06,4.984897e-06,2.468818e-06,-0.33510804,-0.34595442,-0.3519636
ap0_to_acescc,8.0675985e-05,4.9851165e-05,2.4686069e-05,-0.2036366,-0.2607149,-0.30917245
ap0_to_acescc,0.00080675894,0.0004985135,0.00024686212,-0.014029,-0.07110652,-0.12818426
ap0_to_acescc,0.0063028033,0.0038946383,0.0019286086,0.15525088,0.098173276,0.041095838
ap0_to_acescc,0.008067654,0.0049851416,0.0024686188,0.17557964,0.11850108,0.061423562
ap0_to_acescc,0.040337827,0.024925612,0.012343059,0.30810878,0.25103107,0.19395334
