# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_TONESCALE_COMPRESS_20
# columns: peak_nits,J,M,h,J_out,M_out,h_out
1000.0,23.970108,23.09528,101.42356,15.738002,15.839684,101.42356
1000.0,18.102222,40.266724,153.3745,9.442757,17.487516,153.3745
1000.0,18.711206,32.059708,190.06866,10.056632,12.38753,190.06866
1000.0,1.4393253,56.199722,209.1584,0.03363123,1.2938137,209.1584
1000.0,16.575281,43.133755,345.9525,7.9579086,17.24516,345.9525
1000.0,46.14259,118.70633,18.664797,42.047413,96.756676,18.664797
1000.0,70.763084,59.605007,101.54386,70.87914,59.570023,101.54386
1000.0,53.630875,103.65645,153.2239,50.944595,82.62487,153.2239
1000.0,55.41479,82.24545,190.0524,53.049862,58.498253,190.0524
1000.0,4.277988,147.06279,208.80357,0.41030902,3.0947742,208.80357
1000.0,49.151474,111.110794,346.0031,45.63313,84.88655,346.0031
1000.0,63.822227,157.18237,18.729034,62.883972,141.46358,18.729034
1000.0,97.62597,78.934235,101.60796,100.48362,80.89695,101.60796
1000.0,74.13099,137.08252,153.14267,74.71345,120.686676,153.14267
1000.0,76.58183,108.56446,190.04375,77.48373,86.13116,190.04375
1000.0,5.923398,196.21573,208.6143,0.86101425,3.7870488,208.6143
1000.0,67.97233,146.99097,346.03012,67.679016,124.94071,346.03012
1000.0,183.78117,387.19653,19.1395,175.43399,368.9349,19.1395
1000.0,276.72708,194.64157,101.9972,222.45407,157.80132,101.9972
1000.0,212.5961,335.14423,152.63237,193.25696,305.28763,152.63237
1000.0,219.36234,262.3135,189.99106,196.97375,229.205,189.99106
1000.0,17.166733,507.23856,207.45953,8.523272,12.770172,207.45953
1000.0,195.51997,360.04773,346.19482,183.09967,334.353,346.19482
1000.0,56.43955,48.07297,177.88812,54.25646,46.548023,177.88812
1000.0,50.380863,10.866659,255.76355,47.09427,10.854286,255.76355
1000.0,8.670785,11.776742,150.59303,2.024771,3.5342581,150.59303
1000.0,3.8086896,6.2905774,350.13837,0.31451195,0.7145068,350.13837
1000.0,229.09314,50.069077,351.54572,202.03023,13.138245,351.54572
1000.0,3.996336,3.742241,196.39767,0.35111907,0.44459745,196.39767
1000.0,6.8621407,10.2775545,197.00922,1.2004966,1.9377583,197.00922
1000.0,348.01096,149.87938,120.88376,242.88416,33.700718,120.88376
1000.0,18.88088,33.07178,346.34564,10.229672,18.760258,346.34564
1000.0,545.62384,219.81465,324.87567,268.21866,9.928285,324.87567
1000.0,264.68127,229.43301,206.70474,217.90466,192.66597,206.70474
1000.0,29.014132,27.889736,129.32271,21.575474,23.243435,129.32271
1000.0,24.047318,6.71418,171.64165,15.825258,6.671239,171.64165
1000.0,115.870155,88.31581,349.9678,119.09137,69.518654,349.9678
1000.0,9.4834175,18.52098,346.98468,2.466913,5.5030384,346.98468
1000.0,79.00848,17.17377,79.86531,80.20942,14.863856,79.86531
1000.0,10.324928,4.2854004,6.304041,2.9701517,2.1544855,6.304041
1000.0,224.65367,140.74976,122.93732,199.76462,85.76123,122.93732
1000.0,16.911085,10.09064,118.7246,8.277314,6.8700643,118.7246
1000.0,5.543792,1.5218561,108.72589,0.74086094,0.2698348,108.72589
1000.0,232.32845,36.50548,151.48792,203.6388,9.49658,151.48792
1000.0,257.3459,169.28226,29.440594,214.94305,46.782776,29.440594
1000.0,206.25606,190.183,182.86198,189.6186,175.8016,182.86198
1000.0,232.3916,156.14784,149.11057,203.66982,65.445244,149.11057
1000.0,107.40098,121.87242,345.49277,110.62139,116.6544,345.49277
1000.0,157.65364,167.3878,352.8672,156.23007,130.02501,352.8672
1000.0,414.27924,87.17242,97.63913,254.90007,8.172699,97.63913
1000.0,87.531876,17.117903,85.05584,89.63782,14.006557,85.05584
1000.0,53.864223,27.78392,98.45711,51.22032,28.042915,98.45711
1000.0,156.3929,70.39003,185.94801,155.22597,50.7995,185.94801
1000.0,21.90004,117.07848,341.19208,13.433496,30.58215,341.19208
1000.0,31.006962,118.44953,352.1386,23.933342,54.841873,352.1386
1000.0,38.15607,21.08137,325.2071,32.482597,21.977459,325.2071
1000.0,35.481506,67.476265,181.26607,29.275623,36.527893,181.26607
1000.0,35.863197,69.44471,348.3731,29.732994,53.180607,348.3731
1000.0,53.943474,40.731976,94.72156,51.313942,39.770702,94.72156
1000.0,44.8063,87.31463,106.98563,40.45101,52.612236,106.98563
1000.0,48.04995,10.802434,212.5545,44.321957,11.19806,212.5545
4000.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,1.2754085,9.55899e-07,164.57474,0.028087288,0.0,164.57474
4000.0,3.825171,1.7064618e-06,173.92226,0.35018393,0.0,173.92226
4000.0,11.448257,1.2385836e-06,219.61554,4.0677195,0.0,219.61554
4000.0,24.561338,2.9480893e-06,181.73788,17.71144,0.0,181.73788
4000.0,44.938602,5.2442287e-05,177.62239,43.53416,5.5324053e-05,177.62239
4000.0,72.49245,4.3696742e-05,176.44167,79.05493,3.7431986e-05,176.44167
4000.0,99.99999,9.510992e-05,177.48572,114.40352,7.389255e-05,177.48572
4000.0,137.52728,6.601254e-06,177.93018,161.46233,0.0,177.93018
4000.0,256.72885,9.3245835e-05,176.9954,289.23584,0.0,176.9954
4000.0,466.52563,0.00015321598,180.71329,416.948,0.0,180.71329
4000.0,738.8857,0.0004360034,177.74358,478.07083,0.0,177.74358
4000.0,15.555678,46.00433,18.546513,7.6506214,19.957647,18.546513
4000.0,23.970108,23.09528,101.42356,16.997252,16.784853,101.42356
4000.0,18.102222,40.266724,153.3745,10.264953,17.886189,153.3745
4000.0,18.711206,32.059708,190.06866,10.924081,12.611302,190.06866
4000.0,1.4393253,56.199722,209.1584,0.03709391,1.2676468,209.1584
4000.0,16.575281,43.133755,345.9525,8.667462,17.681116,345.9525
4000.0,46.14259,118.70633,18.664797,45.083202,99.8651,18.664797
4000.0,70.763084,59.605007,101.54386,76.82428,63.699482,101.54386
4000.0,53.630875,103.65645,153.2239,54.727768,84.94861,153.2239
4000.0,55.41479,82.24545,190.0524,57.027225,59.7785,190.0524
4000.0,4.277988,147.06279,208.80357,0.45228106,2.7126558,208.80357
4000.0,49.151474,111.110794,346.0031,48.956707,87.19595,346.0031
4000.0,63.822227,157.18237,18.729034,67.87007,147.47264,18.729034
4000.0,97.62597,78.934235,101.60796,111.36986,88.367355,101.60796
4000.0,74.13099,137.08252,153.14267,81.168144,125.646255,153.14267
4000.0,76.58183,108.56446,190.04375,84.32815,88.84029,190.04375
4000.0,5.923398,196.21573,208.6143,0.94835895,3.353742,208.6143
4000.0,67.97233,146.99097,346.03012,73.2241,129.5658,346.03012
4000.0,183.78117,387.19653,19.1395,215.73521,439.41785,19.1395
4000.0,276.72708,194.64157,101.9972,306.51627,212.94191,101.9972
4000.0,212.5961,335.14423,152.63237,246.69385,374.4789,152.63237
4000.0,219.36234,262.3135,189.99106,253.60709,273.78214,189.99106
4000.0,17.166733,507.23856,207.45953,9.276273,12.489867,207.45953
4000.0,195.51997,360.04773,346.19482,228.63731,399.821,346.19482
4000.0,56.43955,48.07297,177.88812,58.34838,48.835247,177.88812
4000.0,50.380863,10.866659,255.76355,50.54013,12.012308,255.76355
4000.0,8.670785,11.776742,150.59303,2.2256742,3.7771559,150.59303
4000.0,3.8086896,6.2905774,350.13837,0.34674007,0.774405,350.13837
4000.0,229.09314,50.069077,351.54572,263.30344,27.590618,351.54572
4000.0,3.996336,3.742241,196.39767,0.38707474,0.481893,196.39767
4000.0,6.8621407,10.2775545,197.00922,1.3215011,2.0172906,197.00922
4000.0,348.01096,149.87938,120.88376,358.42688,79.6973,120.88376
4000.0,18.88088,33.07178,346.34564,11.109753,19.455536,346.34564
4000.0,545.62384,219.81465,324.87567,442.27432,38.58823,324.87567
4000.0,264.68127,229.43301,206.70474,296.25613,251.19176,206.70474
4000.0,29.014132,27.889736,129.32271,23.209446,24.591305,129.32271
4000.0,24.047318,6.71418,171.64165,17.090244,6.969623,171.64165
4000.0,115.870155,88.31581,349.9678,134.53981,88.87773,349.9678
4000.0,9.4834175,18.52098,346.98468,2.7096298,5.7862196,346.98468
4000.0,79.00848,17.17377,79.86531,87.45576,17.657393,79.86531
4000.0,10.324928,4.2854004,6.304041,3.2596006,2.3340952,6.304041
4000.0,224.65367,140.74976,122.93732,258.91586,131.16779,122.93732
4000.0,16.911085,10.09064,118.7246,9.011499,7.414245,118.7246
4000.0,5.543792,1.5218561,108.72589,0.81618613,0.2822527,108.72589
4000.0,232.32845,36.50548,151.48792,266.4624,20.194609,151.48792
4000.0,257.3459,169.28226,29.440594,289.78766,95.75741,29.440594
4000.0,206.25606,190.183,182.86198,240.09064,215.42104,182.86198
4000.0,232.3916,156.14784,149.11057,266.52374,120.40527,149.11057
4000.0,107.40098,121.87242,345.49277,123.82804,135.3103,345.49277
4000.0,157.65364,167.3878,352.8672,185.69643,173.79918,352.8672
4000.0,414.27924,87.17242,97.63913,394.77353,24.724413,97.63913
4000.0,87.531876,17.117903,85.05584,98.42615,17.127216,85.05584
4000.0,53.864223,27.78392,98.45711,55.028522,30.254501,98.45711
4000.0,156.3929,70.39003,185.94801,184.2043,70.21661,185.94801
4000.0,21.90004,117.07848,341.19208,14.538731,30.654488,341.19208
4000.0,31.006962,118.44953,352.1386,25.716785,55.669426,352.1386
4000.0,38.15607,21.08137,325.2071,34.8242,23.09392,325.2071
4000.0,35.481506,67.476265,181.26607,31.403149,37.050316,181.26607
4000.0,35.863197,69.44471,348.3731,31.890621,54.83352,348.3731
4000.0,53.943474,40.731976,94.72156,55.130672,42.378746,94.72156
4000.0,44.8063,87.31463,106.98563,43.36398,54.77412,106.98563
4000.0,48.04995,10.802434,212.5545,47.538307,12.12576,212.5545
