# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20
# columns: peak_nits,limiting_primaries,r,g,b,r_out,g_out,b_out
# output is display-linear in the limiting primaries, 1.0 = 100 cd/m^2
100.0,rec709,0.29208368,0.268283,0.011918582,0.23830423,0.1751923,0.0006272627
100.0,rec709,0.19156015,0.19844612,-0.04582044,0.14058939,0.14178865,-0.0053179446
100.0,rec709,0.18020925,0.22492863,0.26699904,0.04890632,0.13312975,0.15888968
100.0,p3d65,0.0,0.0,0.0,0.0,0.0,0.0
100.0,p3d65,1e-04,1e-04,1e-04,2.0938204e-08,2.0938206e-08,2.0938206e-08
100.0,p3d65,0.001,0.001,0.001,4.129181e-06,4.1291823e-06,4.1291823e-06
100.0,p3d65,0.01,0.01,0.01,0.0007122795,0.0007122796,0.0007122796
100.0,p3d65,0.05,0.05,0.05,0.016048552,0.016048556,0.016048556
100.0,p3d65,0.18,0.18,0.18,0.099999115,0.099999376,0.09999933
100.0,p3d65,0.5,0.5,0.5,0.27980277,0.2798028,0.27980283
100.0,p3d65,1.0,1.0,1.0,0.45756534,0.45756578,0.45756575
100.0,p3d65,2.0,2.0,2.0,0.63988364,0.6398838,0.63988376
100.0,p3d65,8.0,8.0,8.0,0.88557386,0.88557416,0.8855742
100.0,p3d65,32.0,32.0,32.0,0.97504634,0.97504663,0.9750467
100.0,p3d65,100.0,100.0,100.0,0.9976224,0.9976228,0.9976227
100.0,p3d65,0.05,0.0,0.0,0.011659174,-8.012314e-05,0.0004446628
100.0,p3d65,0.05,0.05,0.0,0.020697,0.017644059,-0.00016893016
100.0,p3d65,0.0,0.05,0.0,-0.00020191148,0.009467944,0.0017162208
100.0,p3d65,0.0,0.05,0.05,-0.00029782578,0.008655497,0.0077965586
100.0,p3d65,0.0,0.0,0.05,-5.7349228e-09,4.86718e-08,6.776584e-08
100.0,p3d65,0.05,0.0,0.05,0.010441774,-0.00014642377,0.0066084755
100.0,p3d65,0.5,0.0,0.0,0.445575,-0.003427978,0.016681802
100.0,p3d65,0.5,0.5,0.0,0.3733942,0.31890166,-0.0024518373
100.0,p3d65,0.0,0.5,0.0,-0.007443577,0.28692907,0.05078458
100.0,p3d65,0.0,0.5,0.5,-0.011009672,0.25492766,0.22938101
100.0,p3d65,0.0,0.0,0.5,-9.778794e-07,9.438302e-06,1.2979194e-05
100.0,p3d65,0.5,0.0,0.5,0.36149594,-0.0057831733,0.22840692
100.0,p3d65,1.0,0.0,0.0,0.8522031,-0.010823163,0.029375868
100.0,p3d65,1.0,1.0,0.0,0.6116156,0.522504,-0.0044789664
100.0,p3d65,0.0,1.0,0.0,-0.016069334,0.49884814,0.08588458
100.0,p3d65,0.0,1.0,1.0,-0.022493264,0.447664,0.40246603
100.0,p3d65,0.0,0.0,1.0,-4.276407e-06,4.483159e-05,6.1237675e-05
100.0,p3d65,1.0,0.0,1.0,0.67008746,-0.014837645,0.4222167
100.0,p3d65,10.0,0.0,0.0,1.1533489,0.21321627,0.2045753
100.0,p3d65,10.0,10.0,0.0,1.0143961,0.9799119,0.42417404
