# libultrahdr HLG OOTF / inverse OOTF (BT.2100 luminance)
# columns: dir, gamma, r_in, g_in, b_in, r_out, g_out, b_out
# dir values: ootf, inverse_ootf, ootf_approx, inverse_ootf_approx
# gamma values cover hlg_system_gamma over typical display peaks
# reference: lib/src/gainmapmath.cpp:294/304/299/309 @ libultrahdr commit 8cbc983
dir,gamma,r_in,g_in,b_in,r_out,g_out,b_out
ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf,1.03299999,0.00999999978,0.00100000005,0.00100000005,0.00828681234,0.000828681339,0.000828681339
inverse_ootf,1.03299999,0.00999999978,0.00100000005,0.00100000005,0.0119951377,0.00119951391,0.00119951391
ootf_approx,1.03299999,0.00999999978,0.00100000005,0.00100000005,0.00859013572,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.00999999978,0.00100000005,0.00100000005,0.0115848798,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.00999999978,0.00100000005,0.000849367352,0.00849367306,0.000849367352
inverse_ootf,1.03299999,0.00100000005,0.00999999978,0.00100000005,0.00117122242,0.0117122233,0.00117122242
ootf_approx,1.03299999,0.00100000005,0.00999999978,0.00100000005,0.000796159438,0.00859013572,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.00999999978,0.00100000005,0.00124691636,0.0115848798,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.00999999978,0.000807475997,0.000807475997,0.00807475951
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.00999999978,0.00122999551,0.00122999551,0.0122999549
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00999999978,0.000796159438,0.000796159438,0.00859013572
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00999999978,0.00124691636,0.00124691636,0.0115848798
ootf,1.03299999,0.0500000007,0.00100000005,0.00100000005,0.043417111,0.000868342235,0.000868342235
inverse_ootf,1.03299999,0.0500000007,0.00100000005,0.00100000005,0.0573218875,0.00114643783,0.00114643783
ootf_approx,1.03299999,0.0500000007,0.00100000005,0.00100000005,0.0452935174,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.0500000007,0.00100000005,0.00100000005,0.0550214984,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.0500000007,0.00100000005,0.000894606521,0.0447303243,0.000894606521
inverse_ootf,1.03299999,0.00100000005,0.0500000007,0.00100000005,0.00111383991,0.0556919947,0.00111383991
ootf_approx,1.03299999,0.00100000005,0.0500000007,0.00100000005,0.000796159438,0.0452935174,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.0500000007,0.00100000005,0.00124691636,0.0550214984,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.0500000007,0.000832772639,0.000832772639,0.0416386314
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.0500000007,0.00119380862,0.00119380862,0.059690427
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.0500000007,0.000796159438,0.000796159438,0.0452935174
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.0500000007,0.00124691636,0.00124691636,0.0550214984
ootf,1.03299999,0.100000001,0.00100000005,0.00100000005,0.0887644142,0.000887644128,0.000887644128
inverse_ootf,1.03299999,0.100000001,0.00100000005,0.00100000005,0.112229638,0.00112229644,0.00112229644
ootf_approx,1.03299999,0.100000001,0.00100000005,0.00100000005,0.0926829875,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.100000001,0.00100000005,0.00100000005,0.107633084,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.100000001,0.00100000005,0.000915163022,0.091516301,0.000915163022
inverse_ootf,1.03299999,0.00100000005,0.100000001,0.00100000005,0.00108961121,0.10896112,0.00108961121
ootf_approx,1.03299999,0.00100000005,0.100000001,0.00100000005,0.000796159438,0.0926829875,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.100000001,0.00100000005,0.00124691636,0.107633084,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.100000001,0.000848440686,0.000848440686,0.0848440677
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.100000001,0.00117246062,0.00117246062,0.117246054
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.100000001,0.000796159438,0.000796159438,0.0926829875
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.100000001,0.00124691636,0.00124691636,0.107633084
ootf,1.03299999,0.180000007,0.00100000005,0.00100000005,0.162839755,0.000904665329,0.000904665329
inverse_ootf,1.03299999,0.180000007,0.00100000005,0.00100000005,0.198332801,0.0011018489,0.0011018489
ootf_approx,1.03299999,0.180000007,0.00100000005,0.00100000005,0.170096949,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.180000007,0.00100000005,0.00100000005,0.190135583,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.180000007,0.00100000005,0.000933022937,0.167944133,0.000933022937
inverse_ootf,1.03299999,0.00100000005,0.180000007,0.00100000005,0.00106941408,0.192494527,0.00106941408
ootf_approx,1.03299999,0.00100000005,0.180000007,0.00100000005,0.000796159438,0.170096949,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.180000007,0.00100000005,0.00124691636,0.190135583,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.180000007,0.000863268157,0.000863268157,0.155388266
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.180000007,0.00115296035,0.00115296035,0.207532868
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.180000007,0.000796159438,0.000796159438,0.170096949
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.180000007,0.00124691636,0.00124691636,0.190135583
ootf,1.03299999,0.25,0.00100000005,0.00100000005,0.228598937,0.000914395787,0.000914395787
inverse_ootf,1.03299999,0.25,0.00100000005,0.00100000005,0.272624075,0.00109049631,0.00109049631
ootf_approx,1.03299999,0.25,0.00100000005,0.00100000005,0.238820732,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.25,0.00100000005,0.00100000005,0.261320382,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.25,0.00100000005,0.00094316958,0.235792384,0.00094316958
inverse_ootf,1.03299999,0.00100000005,0.25,0.00100000005,0.00105827488,0.264568716,0.00105827488
ootf_approx,1.03299999,0.00100000005,0.25,0.00100000005,0.000796159438,0.238820732,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.25,0.00100000005,0.00124691636,0.261320382,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.25,0.000872017117,0.000872017117,0.218004271
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.25,0.0011417605,0.0011417605,0.285440117
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.25,0.000796159438,0.000796159438,0.238820732
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.25,0.00124691636,0.00124691636,0.261320382
ootf,1.03299999,0.5,0.00100000005,0.00100000005,0.467690378,0.000935380813,0.000935380813
inverse_ootf,1.03299999,0.5,0.00100000005,0.00100000005,0.533402145,0.0010668044,0.0010668044
ootf_approx,1.03299999,0.5,0.00100000005,0.00100000005,0.48869288,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.5,0.00100000005,0.00100000005,0.511195064,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.5,0.00100000005,0.000964961946,0.482480943,0.000964961946
inverse_ootf,1.03299999,0.00100000005,0.5,0.00100000005,0.00103513035,0.517565131,0.00103513035
ootf_approx,1.03299999,0.00100000005,0.5,0.00100000005,0.000796159438,0.48869288,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.5,0.00100000005,0.00124691636,0.511195064,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.5,0.00089130213,0.00089130213,0.445651054
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.5,0.00111783727,0.00111783727,0.558918595
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.5,0.000796159438,0.000796159438,0.48869288
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.5,0.00124691636,0.00124691636,0.511195064
ootf,1.03299999,0.75,0.00100000005,0.00100000005,0.710941732,0.000947922352,0.000947922352
inverse_ootf,1.03299999,0.75,0.00100000005,0.00100000005,0.789853454,0.00105313794,0.00105313794
ootf_approx,1.03299999,0.75,0.00100000005,0.00100000005,0.742913544,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.75,0.00100000005,0.00100000005,0.75692445,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,0.75,0.00100000005,0.000977950054,0.733462453,0.000977950054
inverse_ootf,1.03299999,0.00100000005,0.75,0.00100000005,0.00102181919,0.766364336,0.00102181919
ootf_approx,1.03299999,0.00100000005,0.75,0.00100000005,0.000796159438,0.742913544,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.75,0.00100000005,0.00124691636,0.75692445,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,0.75,0.000903001172,0.000903001172,0.677250862
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.75,0.00110381469,0.00110381469,0.827860951
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.75,0.000796159438,0.000796159438,0.742913544
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.75,0.00124691636,0.00124691636,0.75692445
ootf,1.03299999,1,0.00100000005,0.00100000005,0.95693481,0.000956934877,0.000956934877
inverse_ootf,1.03299999,1,0.00100000005,0.00100000005,1.04353476,0.00104353484,0.00104353484
ootf_approx,1.03299999,1,0.00100000005,0.00100000005,1,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,1,0.00100000005,0.00100000005,1,0.00124691636,0.00124691636
ootf,1.03299999,0.00100000005,1,0.00100000005,0.000987273292,0.987273216,0.000987273292
inverse_ootf,1.03299999,0.00100000005,1,0.00100000005,0.00101247651,1.01247644,0.00101247651
ootf_approx,1.03299999,0.00100000005,1,0.00100000005,0.000796159438,1,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,1,0.00100000005,0.00124691636,1,0.00124691636
ootf,1.03299999,0.00100000005,0.00100000005,1,0.000911458454,0.000911458454,0.911458433
inverse_ootf,1.03299999,0.00100000005,0.00100000005,1,0.0010938982,0.0010938982,1.09389818
ootf_approx,1.03299999,0.00100000005,0.00100000005,1,0.000796159438,0.000796159438,1
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,1,0.00124691636,0.00124691636,1
ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf,1.20000005,0.00999999978,0.00100000005,0.00100000005,0.00320168678,0.000320168678,0.000320168678
inverse_ootf,1.20000005,0.00999999978,0.00100000005,0.00100000005,0.0258335602,0.00258335634,0.00258335634
ootf_approx,1.20000005,0.00999999978,0.00100000005,0.00100000005,0.00398107059,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.00999999978,0.00100000005,0.00100000005,0.0215443484,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.00999999978,0.00100000005,0.000371771253,0.00371771236,0.000371771253
inverse_ootf,1.20000005,0.00100000005,0.00999999978,0.00100000005,0.00228088535,0.0228088517,0.00228088535
ootf_approx,1.20000005,0.00100000005,0.00999999978,0.00100000005,0.000251188583,0.00398107059,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.00999999978,0.00100000005,0.00316227833,0.0215443484,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.00999999978,0.000273620739,0.000273620739,0.0027362071
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.00999999978,0.00294470973,0.00294470973,0.0294470955
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00999999978,0.000251188583,0.000251188583,0.00398107059
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00999999978,0.00316227833,0.00316227833,0.0215443484
ootf,1.20000005,0.0500000007,0.00100000005,0.00100000005,0.0212519895,0.00042503982,0.00042503982
inverse_ootf,1.20000005,0.0500000007,0.00100000005,0.00100000005,0.102002762,0.00204005535,0.00204005535
ootf_approx,1.20000005,0.0500000007,0.00100000005,0.00100000005,0.0274640098,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.0500000007,0.00100000005,0.00100000005,0.0823774561,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.0500000007,0.00100000005,0.000509167614,0.0254583806,0.000509167614
inverse_ootf,1.20000005,0.00100000005,0.0500000007,0.00100000005,0.00175502244,0.0877511203,0.00175502244
ootf_approx,1.20000005,0.00100000005,0.0500000007,0.00100000005,0.000251188583,0.0274640098,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.0500000007,0.00100000005,0.00316227833,0.0823774561,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.0500000007,0.000329869246,0.000329869246,0.016493462
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.0500000007,0.00251989113,0.00251989113,0.125994548
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.0500000007,0.000251188583,0.000251188583,0.0274640098
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.0500000007,0.00316227833,0.00316227833,0.0823774561
ootf,1.20000005,0.100000001,0.00100000005,0.00100000005,0.0485619567,0.000485619559,0.000485619559
inverse_ootf,1.20000005,0.100000001,0.00100000005,0.00100000005,0.182565972,0.00182565989,0.00182565989
ootf_approx,1.20000005,0.100000001,0.00100000005,0.00100000005,0.0630957261,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.100000001,0.00100000005,0.00100000005,0.14677994,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.100000001,0.00100000005,0.000584328664,0.0584328659,0.000584328664
inverse_ootf,1.20000005,0.00100000005,0.100000001,0.00100000005,0.00156477664,0.15647766,0.00156477664
ootf_approx,1.20000005,0.00100000005,0.100000001,0.00100000005,0.000251188583,0.0630957261,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.100000001,0.00100000005,0.00316227833,0.14677994,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.100000001,0.000369319809,0.000369319809,0.0369319804
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.100000001,0.002293495,0.002293495,0.229349494
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.100000001,0.000251188583,0.000251188583,0.0630957261
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.100000001,0.00316227833,0.00316227833,0.14677994
ootf,1.20000005,0.180000007,0.00100000005,0.00100000005,0.0980760306,0.000544866838,0.000544866838
inverse_ootf,1.20000005,0.180000007,0.00100000005,0.00100000005,0.298559248,0.00165866257,0.00165866257
ootf_approx,1.20000005,0.180000007,0.00100000005,0.00100000005,0.127740026,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.180000007,0.00100000005,0.00100000005,0.239548683,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.180000007,0.00100000005,0.000656945049,0.118250102,0.000656945049
inverse_ootf,1.20000005,0.00100000005,0.180000007,0.00100000005,0.00141925074,0.25546515,0.00141925074
ootf_approx,1.20000005,0.00100000005,0.180000007,0.00100000005,0.000251188583,0.127740026,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.180000007,0.00100000005,0.00316227833,0.239548683,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.180000007,0.000410208071,0.000410208071,0.0738374516
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.180000007,0.0021013408,0.0021013408,0.37824136
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.180000007,0.000251188583,0.000251188583,0.127740026
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.180000007,0.00316227833,0.00316227833,0.239548683
ootf,1.20000005,0.25,0.00100000005,0.00100000005,0.145341501,0.00058136601,0.00058136601
inverse_ootf,1.20000005,0.25,0.00100000005,0.00100000005,0.392854691,0.00157141883,0.00157141883
ootf_approx,1.20000005,0.25,0.00100000005,0.00100000005,0.189464554,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.25,0.00100000005,0.00100000005,0.314980268,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.25,0.00100000005,0.000701452896,0.175363213,0.000701452896
inverse_ootf,1.20000005,0.00100000005,0.25,0.00100000005,0.00134379987,0.335949957,0.00134379987
ootf_approx,1.20000005,0.00100000005,0.25,0.00100000005,0.000251188583,0.189464554,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.25,0.00100000005,0.00316227833,0.314980268,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.25,0.000436059083,0.000436059083,0.109014764
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.25,0.0019970038,0.0019970038,0.499250919
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.25,0.000251188583,0.000251188583,0.189464554
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.25,0.00316227833,0.00316227833,0.314980268
ootf,1.20000005,0.5,0.00100000005,0.00100000005,0.333535582,0.000667071203,0.000667071203
inverse_ootf,1.20000005,0.5,0.00100000005,0.00100000005,0.700637162,0.00140127435,0.00140127435
ootf_approx,1.20000005,0.5,0.00100000005,0.00100000005,0.435275257,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.5,0.00100000005,0.00100000005,0.561231017,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.5,0.00100000005,0.00080560497,0.402802467,0.00080560497
inverse_ootf,1.20000005,0.00100000005,0.5,0.00100000005,0.00119737885,0.598689377,0.00119737885
ootf_approx,1.20000005,0.00100000005,0.5,0.00100000005,0.000251188583,0.435275257,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.5,0.00100000005,0.00316227833,0.561231017,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.5,0.000497875386,0.000497875386,0.248937681
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.5,0.00178813154,0.00178813154,0.894065738
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.5,0.000251188583,0.000251188583,0.435275257
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.5,0.00316227833,0.00316227833,0.561231017
ootf,1.20000005,0.75,0.00100000005,0.00100000005,0.542362869,0.000723150501,0.000723150501
inverse_ootf,1.20000005,0.75,0.00100000005,0.00100000005,0.982586265,0.0013101151,0.0013101151
ootf_approx,1.20000005,0.75,0.00100000005,0.00100000005,0.708065629,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.75,0.00100000005,0.00100000005,0.786836326,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,0.75,0.00100000005,0.000873600598,0.655200422,0.000873600598
inverse_ootf,1.20000005,0.00100000005,0.75,0.00100000005,0.00111919537,0.839396477,0.00111919537
ootf_approx,1.20000005,0.00100000005,0.75,0.00100000005,0.000251188583,0.708065629,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.75,0.00100000005,0.00316227833,0.786836326,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,0.75,0.000538820401,0.000538820401,0.404115289
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.75,0.00167415885,0.00167415885,1.25561905
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.75,0.000251188583,0.000251188583,0.708065629
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.75,0.00316227833,0.00316227833,0.786836326
ootf,1.20000005,1,0.00100000005,0.00100000005,0.765835404,0.000765835459,0.000765835459
inverse_ootf,1.20000005,1,0.00100000005,0.00100000005,1.24897516,0.00124897517,0.00124897517
ootf_approx,1.20000005,1,0.00100000005,0.00100000005,1,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,1,0.00100000005,0.00100000005,1,0.00316227833,0.00316227833
ootf,1.20000005,0.00100000005,1,0.00100000005,0.000925309316,0.9253093,0.000925309316
inverse_ootf,1.20000005,0.00100000005,1,0.00100000005,0.00106682756,1.06682754,0.00106682756
ootf_approx,1.20000005,0.00100000005,1,0.00100000005,0.000251188583,1,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,1,0.00100000005,0.00316227833,1,0.00316227833
ootf,1.20000005,0.00100000005,0.00100000005,1,0.000570139149,0.000570139149,0.57013911
inverse_ootf,1.20000005,0.00100000005,0.00100000005,1,0.00159716327,0.00159716327,1.5971632
ootf_approx,1.20000005,0.00100000005,0.00100000005,1,0.000251188583,0.000251188583,1
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,1,0.00316227833,0.00316227833,1
ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
ootf,1.45299995,0.00999999978,0.00100000005,0.00100000005,0.000758024806,7.58024835e-05,7.58024835e-05
inverse_ootf,1.45299995,0.00999999978,0.00100000005,0.00100000005,0.0590251163,0.005902512,0.005902512
ootf_approx,1.45299995,0.00999999978,0.00100000005,0.00100000005,0.00124165253,4.37522285e-05,4.37522285e-05
inverse_ootf_approx,1.45299995,0.00999999978,0.00100000005,0.00100000005,0.0420278721,0.0086160088,0.0086160088
ootf,1.45299995,0.00100000005,0.00999999978,0.00100000005,0.000106334715,0.0010633471,0.000106334715
inverse_ootf,1.45299995,0.00100000005,0.00999999978,0.00100000005,0.00467597973,0.0467597954,0.00467597973
ootf_approx,1.45299995,0.00100000005,0.00999999978,0.00100000005,4.37522285e-05,0.00124165253,4.37522285e-05
inverse_ootf_approx,1.45299995,0.00100000005,0.00999999978,0.00100000005,0.0086160088,0.0420278721,0.0086160088
ootf,1.45299995,0.00100000005,0.00100000005,0.00999999978,5.31059159e-05,5.31059159e-05,0.000531059108
inverse_ootf,1.45299995,0.00100000005,0.00100000005,0.00999999978,0.00754043646,0.00754043646,0.0754043609
ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00999999978,4.37522285e-05,4.37522285e-05,0.00124165253
inverse_ootf_approx,1.45299995,0.00100000005,0.00100000005,0.00999999978,0.0086160088,0.0086160088,0.0420278721
ootf,1.45299995,0.0500000007,0.00100000005,0.00100000005,0.00720051164,0.000144010235,0.000144010235
inverse_ootf,1.45299995,0.0500000007,0.00100000005,0.00100000005,0.189753577,0.00379507174,0.00379507174
ootf_approx,1.45299995,0.0500000007,0.00100000005,0.00100000005,0.0128707392,4.37522285e-05,4.37522285e-05
inverse_ootf_approx,1.45299995,0.0500000007,0.00100000005,0.00100000005,0.127230272,0.0086160088,0.0086160088
ootf,1.45299995,0.00100000005,0.0500000007,0.00100000005,0.000216790315,0.0108395154,0.000216790315
inverse_ootf,1.45299995,0.00100000005,0.0500000007,0.00100000005,0.00286390167,0.143195078,0.00286390167
ootf_approx,1.45299995,0.00100000005,0.0500000007,0.00100000005,4.37522285e-05,0.0128707392,4.37522285e-05
inverse_ootf_approx,1.45299995,0.00100000005,0.0500000007,0.00100000005,0.0086160088,0.127230272,0.0086160088
ootf,1.45299995,0.00100000005,0.00100000005,0.0500000007,8.11044447e-05,8.11044447e-05,0.00405522203
inverse_ootf,1.45299995,0.00100000005,0.00100000005,0.0500000007,0.0056341649,0.0056341649,0.281708241
ootf_approx,1.45299995,0.00100000005,0.00100000005,0.0500000007,4.37522285e-05,4.37522285e-05,0.0128707392
inverse_ootf_approx,1.45299995,0.00100000005,0.00100000005,0.0500000007,0.0086160088,0.0086160088,0.127230272
ootf,1.45299995,0.100000001,0.00100000005,0.00100000005,0.0194742642,0.00019474265,0.00019474265
inverse_ootf,1.45299995,0.100000001,0.00100000005,0.00100000005,0.308329523,0.00308329519,0.00308329519
ootf_approx,1.45299995,0.100000001,0.00100000005,0.00100000005,0.0352370925,4.37522285e-05,4.37522285e-05
inverse_ootf_approx,1.45299995,0.100000001,0.00100000005,0.00100000005,0.205007017,0.0086160088,0.0086160088
ootf,1.45299995,0.00100000005,0.100000001,0.00100000005,0.000296127459,0.0296127442,0.000296127459
