# libultrahdr HLG OOTF / inverse OOTF (BT.2100 luminance)
# columns: dir, gamma, r_in, g_in, b_in, r_out, g_out, b_out
# dir values: ootf, inverse_ootf, ootf_approx, inverse_ootf_approx
# gamma values cover hlg_system_gamma over typical display peaks
# reference: lib/src/gainmapmath.cpp:294/304/299/309 @ libultrahdr commit 8cbc983
dir,gamma,r_in,g_in,b_in,r_out,g_out,b_out
ootf_approx,1.03299999,0.75,0.75,0.75,0.742913544,0.742913544,0.742913544
inverse_ootf_approx,1.03299999,0.75,0.75,0.75,0.75692445,0.75692445,0.75692445
ootf,1.03299999,1,1,1,1,1,1
inverse_ootf,1.03299999,1,1,1,1,1,1
ootf_approx,1.03299999,1,1,1,1,1,1
inverse_ootf_approx,1.03299999,1,1,1,1,1,1
ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.000251188583,0.000251188583,0.000251188583
inverse_ootf_approx,1.20000005,0.00100000005,0.00100000005,0.00100000005,0.00316227833,0.00316227833,0.00316227833
ootf,1.20000005,0.00999999978,0.00999999978,0.00999999978,0.00398107059,0.00398107059,0.00398107059
inverse_ootf,1.20000005,0.00999999978,0.00999999978,0.00999999978,0.0215443484,0.0215443484,0.0215443484
ootf_approx,1.20000005,0.00999999978,0.00999999978,0.00999999978,0.00398107059,0.00398107059,0.00398107059
inverse_ootf_approx,1.20000005,0.00999999978,0.00999999978,0.00999999978,0.0215443484,0.0215443484,0.0215443484
ootf,1.20000005,0.0500000007,0.0500000007,0.0500000007,0.027464008,0.027464008,0.027464008
inverse_ootf,1.20000005,0.0500000007,0.0500000007,0.0500000007,0.0823774561,0.0823774561,0.0823774561
ootf_approx,1.20000005,0.0500000007,0.0500000007,0.0500000007,0.0274640098,0.0274640098,0.0274640098
inverse_ootf_approx,1.20000005,0.0500000007,0.0500000007,0.0500000007,0.0823774561,0.0823774561,0.0823774561
ootf,1.20000005,0.100000001,0.100000001,0.100000001,0.0630957335,0.0630957335,0.0630957335
inverse_ootf,1.20000005,0.100000001,0.100000001,0.100000001,0.14677994,0.14677994,0.14677994
ootf_approx,1.20000005,0.100000001,0.100000001,0.100000001,0.0630957261,0.0630957261,0.0630957261
inverse_ootf_approx,1.20000005,0.100000001,0.100000001,0.100000001,0.14677994,0.14677994,0.14677994
ootf,1.20000005,0.180000007,0.180000007,0.180000007,0.127740026,0.127740026,0.127740026
inverse_ootf,1.20000005,0.180000007,0.180000007,0.180000007,0.239548683,0.239548683,0.239548683
ootf_approx,1.20000005,0.180000007,0.180000007,0.180000007,0.127740026,0.127740026,0.127740026
inverse_ootf_approx,1.20000005,0.180000007,0.180000007,0.180000007,0.239548683,0.239548683,0.239548683
ootf,1.20000005,0.25,0.25,0.25,0.189464554,0.189464554,0.189464554
inverse_ootf,1.20000005,0.25,0.25,0.25,0.314980268,0.314980268,0.314980268
ootf_approx,1.20000005,0.25,0.25,0.25,0.189464554,0.189464554,0.189464554
inverse_ootf_approx,1.20000005,0.25,0.25,0.25,0.314980268,0.314980268,0.314980268
ootf,1.20000005,0.5,0.5,0.5,0.435275257,0.435275257,0.435275257
inverse_ootf,1.20000005,0.5,0.5,0.5,0.561231017,0.561231017,0.561231017
ootf_approx,1.20000005,0.5,0.5,0.5,0.435275257,0.435275257,0.435275257
inverse_ootf_approx,1.20000005,0.5,0.5,0.5,0.561231017,0.561231017,0.561231017
ootf,1.20000005,0.75,0.75,0.75,0.708065629,0.708065629,0.708065629
inverse_ootf,1.20000005,0.75,0.75,0.75,0.786836267,0.786836267,0.786836267
ootf_approx,1.20000005,0.75,0.75,0.75,0.708065629,0.708065629,0.708065629
inverse_ootf_approx,1.20000005,0.75,0.75,0.75,0.786836326,0.786836326,0.786836326
ootf,1.20000005,1,1,1,1,1,1
inverse_ootf,1.20000005,1,1,1,1,1,1
ootf_approx,1.20000005,1,1,1,1,1,1
inverse_ootf_approx,1.20000005,1,1,1,1,1,1
ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,4.37522285e-05,4.37522285e-05,4.37522285e-05
inverse_ootf,1.45299995,0.00100000005,0.00100000005,0.00100000005,0.0086160088,0.0086160088,0.0086160088
