# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20 (inverse direction)
# columns: peak_nits,limiting_primaries,r_display,g_display,b_display,r_ap0,g_ap0,b_ap0
# inputs are the forward outputs of aces2_ocio_output_transform.csv
100.0,rec709,0.0,0.0,0.0,0.0,0.0,0.0
100.0,rec709,2.0938199e-08,2.09382e-08,2.0938206e-08,0.00010000012,0.000100000165,0.000100000165
100.0,rec709,4.12918e-06,4.1291814e-06,4.1291823e-06,0.0010000012,0.0010000007,0.0010000009
100.0,rec709,0.00071227935,0.00071227946,0.0007122796,0.010000007,0.010000011,0.010000007
100.0,rec709,0.016048547,0.01604855,0.016048556,0.050000027,0.050000045,0.050000045
100.0,rec709,0.099999085,0.09999935,0.09999933,0.17999983,0.18000007,0.18000004
100.0,rec709,0.27980283,0.27980283,0.27980292,0.4999994,0.49999976,0.49999976
100.0,rec709,0.45756522,0.45756575,0.45756575,0.9999988,1.0,0.9999996
100.0,rec709,0.63988364,0.6398836,0.63988376,1.9999974,1.9999977,1.9999989
100.0,rec709,0.88557404,0.8855741,0.8855743,7.9999638,8.000008,7.999982
100.0,rec709,0.97504646,0.97504634,0.9750467,32.000187,31.999878,32.001183
100.0,rec709,0.99762255,0.99762255,0.9976227,99.97646,100.01375,100.005905
100.0,rec709,0.01303178,-8.147461e-05,0.00050124474,0.0499997,1.919568e-07,5.7226476e-08
100.0,rec709,0.020780057,0.017985323,-0.0002126999,0.049999963,0.050000068,-9.201015e-09
100.0,rec709,-0.0001404616,0.009029679,0.002231142,-5.68856e-07,0.050000522,-2.1129586e-07
100.0,rec709,-0.00019527641,0.008505235,0.0076155663,2.2809388e-06,0.049998246,0.049998183
100.0,rec709,-3.4553411e-09,4.784828e-08,6.1442364e-08,9.577267e-07,-1.6176282e-06,0.0500835
100.0,rec709,0.012105192,-0.00015794318,0.00678247,0.04999969,2.49553e-07,0.049999595
100.0,rec709,0.48586422,-0.003507297,0.018224766,0.49999774,1.3969185e-06,4.074718e-07
100.0,rec709,0.36968797,0.32048202,-0.0034315921,0.5000004,0.500001,2.9824972e-07
100.0,rec709,-0.005293492,0.27735013,0.067398764,3.9927972e-06,0.49999726,1.5522482e-06
100.0,rec709,-0.00752391,0.25313982,0.22644386,-1.8558758e-05,0.5000127,0.50001496
100.0,rec709,-5.8154905e-07,9.294105e-06,1.1828139e-05,-5.030857e-06,8.345616e-06,0.4995812
100.0,rec709,0.41134098,-0.0065643755,0.22985514,0.5000007,-2.3686734e-07,0.50000066
100.0,rec709,0.88538504,-0.009669338,0.030924913,0.9999993,1.4475754e-07,1.9848764e-08
100.0,rec709,0.5924926,0.5139117,-0.006164728,1.0000002,1.0000008,1.730209e-07
100.0,rec709,-0.011184686,0.4689722,0.11199691,-6.677912e-06,1.000006,-2.2307295e-06
100.0,rec709,-0.015381732,0.437662,0.39122152,-3.4014e-05,1.0000254,1.0000263
100.0,rec709,-2.5450013e-06,4.422238e-05,5.60161e-05,4.007385e-05,-6.565931e-05,1.0032156
100.0,rec709,0.7420071,-0.016021503,0.4130511,0.99999744,1.8012148e-06,0.99999785
100.0,rec709,1.1645007,0.19970648,0.20264456,7.079254,-0.076604016,-0.024793841
100.0,rec709,1.0093354,0.9715694,0.4098358,9.993903,9.994229,0.00058379583
100.0,rec709,0.18050347,1.0219026,0.3690212,-0.01088531,10.408694,-0.0025180858
100.0,rec709,0.10226727,1.0138388,0.918934,0.0007249064,10.010807,10.010789
100.0,rec709,-0.00022083413,0.005764659,0.0071209036,0.0007965076,-0.0012352279,10.054005
100.0,rec709,1.1065269,0.22650562,0.70362556,6.9535375,-0.027572546,6.9493847
100.0,rec709,-0.0021164026,0.25737226,0.17712943,0.12835573,0.4242546,0.28918517
100.0,rec709,0.08762273,0.12777846,0.2088338,0.21790542,0.23109852,0.3448657
100.0,rec709,1.1924927e-06,0.00032176764,6.590371e-05,0.0025988342,0.008282663,0.0012659637
100.0,rec709,1.2674186e-05,2.9156342e-07,5.9776144e-06,0.0016947703,0.00044669156,0.0013730896
100.0,rec709,0.9029017,0.83382297,0.86282396,7.236067,5.3612685,6.6169457
100.0,rec709,4.0929518e-09,6.6300236e-06,6.6943167e-06,0.00061579497,0.0014427709,0.0016487705
100.0,rec709,-2.2191628e-06,8.8729554e-05,9.067708e-05,0.0008559111,0.00528283,0.006717768
100.0,rec709,0.9260581,0.9901105,0.8028202,14.227176,18.438745,4.0771456
100.0,rec709,0.019775808,-4.5697983e-05,0.010941367,0.054382034,0.008477067,0.051404513
100.0,rec709,0.9969437,0.97722703,0.99874145,60.59977,33.507435,88.86546
100.0,rec709,0.520925,0.9319191,1.0061659,2.7688637,12.432807,21.951853
100.0,rec709,0.015379568,0.043765873,0.00015614067,0.053610995,0.09035129,0.0063882195
100.0,rec709,0.0035195996,0.019784411,0.013026717,0.040305533,0.053870548,0.04492683
100.0,rec709,1.0192606,0.32205436,0.6393179,2.0856133,0.8216077,1.7603323
100.0,rec709,0.0009813787,-3.647677e-06,0.00052606117,0.012909603,0.0018970671,0.011854758
100.0,rec709,0.39579436,0.32877254,0.21188425,0.6353521,0.5944319,0.34960616
100.0,rec709,0.00095179933,0.0002727153,0.00038612314,0.009795957,0.0067738304,0.007262721
100.0,rec709,0.75181085,1.0116808,0.3822257,4.965695,7.1146436,0.71876127
100.0,rec709,0.0034235378,0.005070431,0.00023949328,0.02068823,0.025609458,0.006608774
100.0,rec709,2.5741472e-05,2.6964786e-05,1.3152903e-05,0.002140475,0.0022664357,0.0013847266
100.0,rec709,0.834915,0.87311953,0.83982813,5.7409916,6.9708953,5.246341
