# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_RGB_TO_JMH_20
# columns: primaries,r,g,b,J,M,h
ap1,0.0,0.0,0.05,10.031942,17.097105,269.06808
ap1,0.05,0.0,0.05,17.077831,29.547054,341.52573
ap1,0.5,0.0,0.0,40.788185,89.71552,24.664501
ap1,0.5,0.5,0.0,66.48239,57.93153,106.04286
ap1,0.0,0.5,0.0,53.110176,83.79329,147.39694
ap1,0.0,0.5,0.5,60.43769,49.564278,192.24286
ap1,0.0,0.0,0.5,29.883253,43.998898,268.87244
ap1,0.5,0.0,0.5,50.635178,76.01447,341.58585
ap1,1.0,0.0,0.0,56.459,118.92054,24.752151
ap1,1.0,1.0,0.0,91.76528,76.75735,106.07779
ap1,0.0,1.0,0.0,73.41915,110.89122,147.31342
ap1,0.0,1.0,1.0,83.48187,65.37221,192.23338
ap1,0.0,0.0,1.0,41.426746,58.177715,268.76697
ap1,1.0,0.0,1.0,70.019226,100.49202,341.61795
ap1,10.0,0.0,0.0,163.33867,294.88345,25.31335
ap1,10.0,10.0,0.0,260.89343,189.86934,106.29053
ap1,0.0,10.0,0.0,210.69107,272.2852,146.79047
ap1,0.0,10.0,10.0,238.39223,157.16676,192.17578
ap1,0.0,0.0,10.0,120.98122,142.08727,268.10486
ap1,10.0,0.0,10.0,201.31581,245.09932,341.81387
ap1,0.12835671,0.42425424,0.2891852,57.843254,32.336353,175.46527
ap1,0.2179053,0.23109841,0.34486538,51.916218,9.068981,268.88095
ap1,0.0025988314,0.008282656,0.0012659623,8.491876,9.643934,145.4138
ap1,0.0016947687,0.00044669004,0.0013730898,3.789948,4.4281754,346.53873
ap1,7.2360888,5.3612547,6.6169443,228.43352,35.33049,348.01462
ap1,0.00061579206,0.0014427701,0.0016487708,4.1908817,2.3229806,201.25165
ap1,0.00085590343,0.005282828,0.0067177676,7.4777813,6.136558,202.64642
ap1,14.227308,18.438784,4.0771413,335.70435,138.85858,120.84171
ap1,0.05438203,0.008477045,0.0514045,19.116848,23.258627,342.07776
ap1,60.60197,33.507004,88.86753,563.9357,173.77042,320.43143
ap1,2.780193,12.51065,22.101048,293.74878,133.59901,218.05194
ap1,0.053610936,0.09035126,0.0063881534,27.78502,25.459192,127.105644
ap1,0.040305544,0.053870525,0.04492682,24.12864,4.7355514,167.96623
ap1,2.0856154,0.8216084,1.7603343,115.397896,62.44577,346.2834
ap1,0.012909604,0.0018970562,0.011854765,9.5794525,13.001144,342.82925
ap1,0.63535184,0.59443116,0.34960604,76.92745,15.087442,90.453735
ap1,0.009795946,0.0067738215,0.007262715,10.172726,2.8769593,6.799441
ap1,4.9657006,7.114646,0.7187635,215.22852,130.9151,122.19686
ap1,0.020688212,0.025609445,0.006608773,16.273941,9.338703,119.315636
ap1,0.002140473,0.0022664326,0.0013847284,5.429791,1.4005214,112.32006
ap1,5.7410045,6.970885,5.246352,231.03214,29.145216,146.5983
ap1,12.311204,5.3472,2.5092647,242.48073,122.0361,37.207207
ap1,1.1829528,7.845009,5.9025946,215.53578,122.29985,181.9419
ap1,3.7690847,8.79762,2.1358516,227.98906,128.75455,144.14864
ap1,2.024743,0.48334378,1.9702173,108.62601,86.49097,341.09744
ap1,4.7441,1.1557485,3.409549,155.64497,117.11859,349.87082
ap1,24.532665,24.760946,11.826119,402.95453,80.50699,103.910706
ap1,0.7793694,0.74921787,0.45722532,85.438255,15.275951,94.63235
ap1,0.27376878,0.27468958,0.059621945,51.359272,26.043194,104.183266
ap1,1.7278978,3.3542383,3.069833,160.09273,45.582516,186.26822
ap1,0.1452532,-0.04281437,0.26234332,27.173086,66.43784,333.2668
ap1,0.25027362,-0.03415102,0.16085279,31.014946,79.02737,349.2947
ap1,0.15937898,0.09650285,0.21861161,39.313976,16.842648,320.78394
ap1,-0.02372666,0.21780685,0.13215691,38.02835,43.123848,179.63509
ap1,0.23191704,0.019229304,0.19946364,36.1203,48.27641,344.49313
ap1,0.29208368,0.268283,0.011918582,50.70411,38.870434,101.06394
