# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_GAMUT_COMPRESS_20
# columns: peak_nits,limiting_primaries,J,M,h,J_out,M_out,h_out
100.0,p3d65,34.075542,3.6558995e-05,177.62239,34.075542,3.6558995e-05,177.62239
100.0,p3d65,55.271793,1.855173e-05,176.44167,55.271793,1.855173e-05,176.44167
100.0,p3d65,69.55675,2.7466509e-05,177.48572,69.55675,2.7466509e-05,177.48572
100.0,p3d65,81.30954,0.0,177.93018,81.30954,0.0,177.93018
100.0,p3d65,94.534966,0.0,176.9954,94.534966,0.0,176.9954
100.0,p3d65,98.838844,0.0,180.71329,98.838844,0.0,180.71329
100.0,p3d65,99.89007,0.0,177.74358,99.89007,0.0,177.74358
100.0,p3d65,6.1510363,17.895338,18.546513,6.3007593,14.320084,18.546513
100.0,p3d65,13.75395,14.175593,101.42356,13.857437,12.952489,101.42356
100.0,p3d65,8.276592,16.32237,153.3745,8.6477375,9.801134,153.3745
100.0,p3d65,8.813292,11.642649,190.06866,9.124513,6.4455934,190.06866
100.0,p3d65,0.029497975,1.284977,209.1584,0.029771665,0.04366779,209.1584
100.0,p3d65,6.9769754,16.099798,345.9525,7.1517377,12.387908,345.9525
100.0,p3d65,35.156612,84.93391,18.664797,35.421673,65.02477,18.664797
100.0,p3d65,54.15912,47.08298,101.54386,54.364403,42.66947,101.54386
100.0,p3d65,41.569824,71.59632,153.2239,43.431023,40.448517,153.2239
100.0,p3d65,43.01636,50.887108,190.0524,45.187363,26.296486,190.0524
100.0,p3d65,0.35979337,3.5636406,208.80357,0.36841467,0.39278662,208.80357
100.0,p3d65,37.79883,74.43793,346.0031,38.312706,53.970562,346.0031
100.0,p3d65,49.40667,117.45781,18.729034,47.707977,86.00546,18.729034
100.0,p3d65,68.55104,57.6071,101.60796,68.467766,52.329445,101.60796
100.0,p3d65,56.300457,97.72926,153.14267,56.182404,51.11188,153.14267
100.0,p3d65,57.793365,70.19972,190.04375,58.764297,33.295174,190.04375
100.0,p3d65,0.7549215,4.341071,208.6143,0.7753806,0.7487383,208.6143
100.0,p3d65,52.304016,103.391075,346.03012,50.93556,70.31433,346.03012
